Agency,Clinic,Address,City,ZipCode,State,Longitude,Latitude,GeoDate,longitude,latitude
"Public Health Seattle King County","PHSKC-Downtown PHC-Seattle","2124 4th Ave","Seattle",98121,"WA",-122.34216,47.61459,[object Object],47.614590000000085,-122.34215999999999
"Public Health Seattle King County","PHSKC-Eastgate PHC-Bellevue","14350 SE Eastgate Way","Bellevue",98007,"WA",-122.14988,47.58115,[object Object],47.58115000000004,-122.14987999999997
"Public Health Seattle King County","PHSKC-Federal Way PCH-Federal Way","33431 - 13th Pl S","Federal Way",98003,"WA",-122.31785,47.30195,[object Object],47.30194999999997,-122.31784999999996
"Public Health Seattle King County","PHSKC-HealthPoint-Auburn","126 Auburn Ave, Ste 400","Auburn",98002,"WA",-122.22748,47.30891,[object Object],47.30891000000005,-122.22747999999996
"Public Health Seattle King County","PHSKC-HealthPoint-Kent","403 East Meeker St, Ste 200","Kent",98030,"WA",-122.22934,47.38191,[object Object],47.38191000000005,-122.22934
"Public Health Seattle King County","PHSKC-HealthPoint-Sea Tac","4040 S 188TH St, Ste 201","Seatac",98188,"WA",-122.28244,47.43469,[object Object],47.434689999999996,-122.28243999999998
"Public Health Seattle King County","PHSKC-HIGHPOINT","6020 35th AVE SW","Seattle",98126,"WA",-122.37601,47.5478,[object Object],47.547800000000024,-122.37601
"Public Health Seattle King County","PHSKC-International CHS-Holly Park","3815 S Othello St, 1st Floor","Seattle",98118,"WA",-122.28405,47.53685,[object Object],47.536849999999994,-122.28404999999997
"Public Health Seattle King County","PHSKC-International CHS-Seattle","720 - 8th Ave S, Ste 100","Seattle",98104,"WA",-122.32218,47.59612,[object Object],47.59612000000007,-122.32217999999997
"Public Health Seattle King County","PHSKC-International CHS-Shoreline","16549 Aurora Ave North","Shoreline",98133,"WA",-122.34595,47.75023,[object Object],47.750230000000045,-122.34594999999996
"Public Health Seattle King County","PHSKC-Kent PHC-Birch Creek","13111 SE 274TH St, Ste 208","Kent",98030,"WA",-122.16619,47.35558,[object Object],47.35558000000004,-122.16618999999996
"Public Health Seattle King County","PHSKC-Kent PHC-East Hill","25742-104th Ave SE","Kent",98030,"WA",-122.20073,47.37087,[object Object],47.370870000000004,-122.20072999999996
"Public Health Seattle King County","PHSKC-North PHC-Lake City","2611 NE 125th St Ste 145","Seattle",98125,"WA",-122.29951,47.71898,[object Object],47.71898000000006,-122.29950999999994
"Public Health Seattle King County","PHSKC-North PHC-Seattle Main","10521 Meridian Avenue North, 2nd Floor","Seattle",98133,"WA",-122.33477,47.70598,[object Object],47.70598000000005,-122.33477
"Public Health Seattle King County","PHSKC-North PHC-Wallingford","1501 N 45th St","Seattle",98103,"WA",-122.33893,47.66116,[object Object],47.661160000000066,-122.33893000000005
"Public Health Seattle King County","PHSKC-Northshore PHC-HealthPoint Bothell","10414 Beardslee Blvd","Bothell",98011,"WA",-122.20058,47.76093,[object Object],47.76092999999997,-122.20057999999999
"Public Health Seattle King County","PHSKC-Northshore PHC-Totem Lake","13030 121st Way NE, Ste 202","Kirkland",98034,"WA",-122.17862,47.71762,[object Object],47.71762000000005,-122.17862000000002
"Public Health Seattle King County","PHSKC-Odessa Brown Clinic-Seattle","2101 E Yesler Way","Seattle",98122,"WA",-122.30465,47.60132,[object Object],47.601319999999994,-122.30464999999997
"Public Health Seattle King County","PHSKC-Renton PHC-Renton","3201 NE 7th St","Renton",98056,"WA",-122.17609,47.49482,[object Object],47.49482000000004,-122.17609000000002
"Public Health Seattle King County","PHSKC-Swedish MC-Ballard Campus","1801 NW Market St, Ste 401","Seattle",98107,"WA",-122.38018,47.66817,[object Object],47.66817000000004,-122.38018
"Public Health Seattle King County","PHSKC-Swedish MC-First Hill Campus","801 Broadway, Health 711","Seattle",98104,"WA",-122.32083,47.60925,[object Object],47.60925000000003,-122.32082999999997
"Public Health Seattle King County","PHSKC-White Center PHC-HealthPoint Midway","26401 Pacific Highway South","Des Moines",98198,"WA",-122.30654,47.36499,[object Object],47.36499,-122.30653999999998
"Public Health Seattle King County","PHSKC-White Center PHC-Seattle Greenbridge","9934 8th Ave SW","Seattle",98106,"WA",-122.34498,47.51431,[object Object],47.51430999999999,-122.34498000000002
"Public Health Seattle King County","PHSKC-White Center PHC-Vashon Island","17928 Vashon Hwy SW","Vashon",98070,"WA",-122.46019,47.44404,[object Object],47.44404000000006,-122.46018999999998
"Puyallup Tribal Health Authority","Puyallup Tribal Takopid Health Center-Tacoma","2209 E 32nd St","Tacoma",98404,"WA",-122.39996,47.23579,[object Object],47.23579000000005,-122.39996000000002
"Quinault Indian Nation","Quinault Indian Nation-Taholah","1505 Kla-Ook-Wa Drive","Taholah",98587,"WA",-124.280984,47.3393,[object Object],47.33930000000002,-124.280984
"Quinault Indian Nation","Quinault Indian Nation-Aberdeen","400 8th St, Ste A","Hoquiam",98550,"WA",-123.88538,46.97653,[object Object],46.97653000000003,-123.88538000000001
"Quinault Indian Nation","Quinault Indian Nation-Queets","173 Queets Avenue","Queets",98331,"WA",-124.33281,47.54007,[object Object],47.54007000000006,-124.33281
"San Juan County Health & Comm Services","San Juan CHCS-Lopez Island","23 PEAR TREE LN","Lopez Island",98261,"WA",-122.913936,48.526092,[object Object],48.52609200000006,-122.91393599999995
"San Juan County Health & Comm Services","San Juan CHCS-Friday Harbor","145 RHONE ST","Friday Harbor",98250,"WA",-123.01949,48.53458,[object Object],48.53458000000006,-123.01949
"San Juan County Health & Comm Services","San Juan CHCS-Orcas Island","62 Henry Lane","Eastsound",98245,"WA",-122.90673,48.70202,[object Object],48.70202000000003,-122.90673000000001
"Sea Mar Comm Health Centers","Sea Mar CHC-Elma","1510 W Main St","Elma",98541,"WA",-123.4195,47.00343,[object Object],47.00343000000001,-123.41949999999999
"Sea Mar Comm Health Centers","Sea Mar CHC-Downtown Bellingham","1764 Iowa St","Bellingham",98229,"WA",-122.45134,48.75632,[object Object],48.75632000000004,-122.45134
"Sea Mar Comm Health Centers","Sea Mar CHC-Ferndale","6046 Portal Way, Bldg","Ferndale",98248,"WA",-122.58379,48.86102,[object Object],48.86102000000002,-122.58379000000001
"Sea Mar Comm Health Centers","Sea Mar CHC-Tillicum","14916 Washington Ave SW","Lakewood",98498,"WA",-122.5545,47.12383,[object Object],47.12382999999998,-122.55449999999999
"Sea Mar Comm Health Centers","Sea Mar CHC-Washougal","1702 ""C"" St","Washougal",98671,"WA",-122.35345,45.57908,[object Object],45.579080000000005,-122.35344999999998
"Sea Mar Comm Health Centers","Sea Mar CHC-Battle Ground","701 E Main St","Battle Ground",98604,"WA",-122.52998,45.78074,[object Object],45.78073999999998,-122.52998000000001
"Sea Mar Comm Health Centers","Sea Mar CHC-Bellingham","4455 Cordata Pkwy","Bellingham",98226,"WA",-122.49679,48.80139,[object Object],48.80138999999999,-122.49679000000002
"Sea Mar Comm Health Centers","Sea Mar CHC-Burien","14434 Ambaum Blvd SW, Ste 3","Burien",98166,"WA",-122.34666,47.47293,[object Object],47.47293000000005,-122.34665999999997
"Sea Mar Comm Health Centers","Sea Mar CHC-Fife","6622 20TH ST E FIFE","Fife",98424,"WA",-122.34065,47.23867,[object Object],47.23867000000004,-122.34064999999997
"Sea Mar Comm Health Centers","Sea Mar CHC-Hidden Brook","19005 SE 34th St","Vancouver",98683,"WA",-122.47881,45.59617,[object Object],45.59617000000002,-122.47881
"Sea Mar Comm Health Centers","Sea Mar CHC-Medical Clinic Facility-Yelm","202 Cullens St NW","Yelm",98597,"WA",-122.61271,46.94705,[object Object],46.94704999999998,-122.61270999999996
