inCredenti,inStatus,inFirstDat,inEffectiv,inExpirati,inFacility,inAddress1,inCity,inState,inCounty,inZip,inPlus4,Source,acAddress1,acAddress2,acCity,acState,acZip,acPlus4,acCounty,acCountyFi,acNumber,acPreDir,acStreetNa,acStreetTy,acPostDir,acUnitNum,acUnitType,acAddressT,acRBDI,acGarbage,acFound,acStatusCo,acErrorCod,acChangeCo,acResultCo,Accuracy,Av_score,Av_date,Certainty,Geolevel,Quality,X_coord,Y_coord,X_coords,Y_coords,Review,longitude,latitude
"PHAR.CF.60247490","ACTIVE","10/07/2011","06/01/2020","05/31/2021","Wal-Mart Pharmacy 10-5853","3715 Ocean Beach Hwy Hyw 2","LONGVIEW","WA","Cowlitz","98632","4801","TIGER10 Streets","3715 OCEAN BEACH HWY HYW 2"," ","LONGVIEW","WA","98632","4801","Cowlitz","53015","3715"," ","Ocean Beach","Hwy"," ","Hyw 2","Hyw","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.98151,46.15456,"-122.98151","46.15456",0,46.154560000092864,-122.98151000010886
"PHAR.CF.00005243","ACTIVE","08/16/1995","06/01/2020","05/31/2021","Walgreens  #03514","9505 Bridgeport Way SW","TACOMA","WA","Pierce","98499","2801","TIGER10 Streets","9505 BRIDGEPORT WAY SW"," ","TACOMA","WA","98499","2801","Pierce","53053","9505"," ","Bridgeport","Way","SW"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.51831,47.1718,"-122.51831","47.17180",0,47.171799999726275,-122.51831000042726
"PHAR.CF.00055953","ACTIVE","08/18/1997","06/01/2020","05/31/2021","Walgreens  #03765","20725 Highway 99","LYNNWOOD","WA","Snohomish","98036","7454","TIGER10 Streets","20725 HIGHWAY 99"," ","LYNNWOOD","WA","98036","7454","Snohomish","53061","20725"," ","Highway 99"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.32346,47.81112,"-122.32346","47.81112",0,47.81112000017163,-122.32346000025721
"PHAR.CF.00057385","ACTIVE","09/20/2002","06/01/2020","05/31/2021","Walgreens  #07131","909 17th St","ANACORTES","WA","Skagit","98221","2379","TIGER10 Streets","909 17TH ST"," ","ANACORTES","WA","98221","2379","Skagit","53057","909"," ","17th","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.61124,48.50848,"-122.61124","48.50848",0,48.50847999971526,-122.61123999971383
"PHAR.CF.00058000","ACTIVE","07/09/2004","06/01/2020","05/31/2021","Walgreens  #07480","1701 Auburn Way S","AUBURN","WA","King","98002","6348","TIGER10 Streets","1701 AUBURN WAY S"," ","AUBURN","WA","98002","6348","King","53033","1701"," ","Auburn","Way","S"," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.20661,47.29147,"-122.20661","47.29147",0,47.291470000269584,-122.20661000024995
"PHAR.CF.00057665","ACTIVE","07/25/2003","06/01/2020","05/31/2021","Walgreens  #07570","2205 Broadway","EVERETT","WA","Snohomish","98201","2321","TIGER10 Streets","2205 BROADWAY"," ","EVERETT","WA","98201","2321","Snohomish","53061","2205"," ","Broadway"," "," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.20126,47.98835,"-122.20126","47.98835",0,47.98835000010191,-122.20126000003206
"PHAR.CF.00057946","ACTIVE","05/28/2004","06/01/2020","05/31/2021","Walgreens #01085","3328 NE 3rd Ave","CAMAS","WA","Clark","98607","2436","TIGER10 Streets","3328 NE 3RD AVE"," ","CAMAS","WA","98607","2436","Clark","53011","3328","NE","3rd","Ave"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.37062,45.58578,"-122.37062","45.58578",0,45.58578000001446,-122.37062000038468
"PHAR.CF.00057971","ACTIVE","07/09/2004","06/01/2020","05/31/2021","Walgreens #01089","13503 SE Mill Plain Blvd","VANCOUVER","WA","Clark","98684","6984","TIGER10 Streets","13503 SE MILL PLAIN BLVD"," ","VANCOUVER","WA","98684","6984","Clark","53011","13503","SE","Mill Plain","Blvd"," "," "," ","Highrise"," "," ","Yes","9"," ","Street Address Match","AE09,AS02","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.53384,45.61868,"-122.53384","45.61868",0,45.6186800003043,-122.53383999960063
"PHAR.CF.00058006","ACTIVE","07/07/2004","06/01/2020","05/31/2021","Walgreens #01090","1900 NE 162nd Ave Bldg C","VANCOUVER","WA","Clark","98684","3014","TIGER10 Streets","1900 NE 162ND AVE BLDG C"," ","VANCOUVER","WA","98684","3014","Clark","53011","1900","NE","162nd","Ave"," ","Bldg C","Bldg","Highrise"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.50618,45.63625,"-122.50618","45.63625",0,45.63624999978583,-122.50617999973845
"PHAR.CF.00057961","ACTIVE","08/26/2004","06/01/2020","05/31/2021","Walgreens #01093","2521 Main St","VANCOUVER","WA","Clark","98660","2649","TIGER10 Streets","2521 MAIN ST"," ","VANCOUVER","WA","98660","2649","Clark","53011","2521"," ","Main","St"," "," "," ","Street"," "," ","Yes","9"," "," ","AS01","Close",100,"09/01/2020 12:31","1","CENSUS TRACT","03",-122.67134,45.6396,"-122.67134","45.63960",0,45.63960000010805,-122.67133999974368
